"name,value,year,lastValue,rank"
"Salah,205,2018.9,0,1"
"Sterling,198,2018.9,0,2"
"Mané,186,2018.9,0,3"
"Hazard,184,2018.9,0,4"
"Robertson,171,2018.9,0,5"
"van Dijk,165,2018.9,0,6"
"Agüero,165,2018.9,0,6"
"Aubameyang,164,2018.9,0,8"
"Kane,156,2018.9,0,9"
"Jiménez,153,2018.9,0,10"
"Pogba,151,2018.9,0,11"
"Sigurdsson,146,2018.9,0,12"
"Lacazette,146,2018.9,0,12"
"Alisson,145,2018.9,0,14"
"Fraser,143,2018.9,0,15"
"Firmino,141,2018.9,0,16"
"Son,139,2018.9,0,17"
"Felipe Anderson,135,2018.9,0,18"
"Richarlison,134,2018.9,0,19"
"Alonso,134,2018.9,0,19"
"Sané,132,2018.9,0,21"
"Pickford,127,2018.9,0,22"
"Wilson,127,2018.9,0,22"
"Milivojevic,127,2018.9,0,22"
"Ederson,126,2018.9,0,25"
"Alexander-Arnold,125,2018.9,0,26"
"David Luiz,125,2018.9,0,26"
"Vardy,124,2018.9,0,28"
"King,123,2018.9,0,29"
"Etheridge,123,2018.9,0,29"
"Azpilicueta,119,2018.9,0,31"
"David Silva,119,2018.9,0,31"
"Bernardo Silva,117,2018.9,0,33"
"Kepa,116,2018.9,0,34"
"Mitrovic,116,2018.9,0,34"
"Fabianski,116,2018.9,0,34"
"Lloris,116,2018.9,0,34"
"Rondón,115,2018.9,0,38"
"Eriksen,115,2018.9,0,38"
"Laporte,113,2018.9,0,40"
"Maddison,112,2018.9,103,41"
"Doherty,112,2018.9,0,41"
"Pereyra,111,2018.9,0,43"
"Rashford,110,2018.9,0,44"
"Foster,110,2018.9,0,44"
"Digne,109,2018.9,103,46"
"Pereira,108,2018.9,0,47"
"Dubravka,107,2018.9,0,48"
"Lukaku,106,2018.9,0,49"
"Walker,105,2018.9,0,50"
"Salah,203,2019.8,0,1"
"Sterling,198,2019.8,0,2"
"Hazard,182,2019.8,0,3"
"Mané,173,2019.8,0,4"
"Robertson,169,2019.8,0,5"
"Agüero,165,2019.8,0,6"
"Aubameyang,164,2019.8,0,7"
"van Dijk,163,2019.8,0,8"
"Kane,156,2019.8,0,9"
"Jiménez,153,2019.8,0,10"
"Pogba,151,2019.8,0,11"
"Lacazette,146,2019.8,0,12"
"Alisson,143,2019.8,0,13"
"Fraser,141,2019.8,0,14"
"Sigurdsson,140,2019.8,0,15"
"Son,139,2019.8,0,16"
"Firmino,136,2019.8,0,17"
"Alonso,134,2019.8,0,18"
"Sané,132,2019.8,0,19"
"Felipe Anderson,130,2019.8,0,20"
"Milivojevic,127,2019.8,0,21"
"Richarlison,126,2019.8,0,22"
"Ederson,126,2019.8,0,22"
"Wilson,125,2019.8,0,24"
"David Luiz,124,2019.8,0,25"
"Etheridge,123,2019.8,0,26"
"Alexander-Arnold,123,2019.8,0,26"
"Vardy,122,2019.8,0,28"
"David Silva,119,2019.8,0,29"
"Pickford,118,2019.8,0,30"
"Azpilicueta,118,2019.8,0,30"
"Bernardo Silva,117,2019.8,0,32"
"Lloris,116,2019.8,0,33"
"Eriksen,115,2019.8,0,34"
"Fabianski,115,2019.8,0,34"
"Mitrovic,114,2019.8,0,36"
"Laporte,113,2019.8,0,37"
"Doherty,112,2019.8,0,38"
"Pereyra,111,2019.8,0,39"
"King,110,2019.8,0,40"
"Rashford,110,2019.8,0,40"
"Foster,110,2019.8,0,40"
"Rondón,107,2019.8,96,43"
"Pereira,106,2019.8,0,44"
"Lukaku,106,2019.8,0,44"
"Dubravka,106,2019.8,0,44"
"Deeney,105,2019.8,101,47"
"Kepa,105,2019.8,0,47"
"Walker,105,2019.8,0,47"
"Townsend,104,2019.8,99,50"
"Salah,198,2016,0,1"
"Sterling,177,2016,0,2"
"Hazard,172,2016,0,3"
"Robertson,168,2016,0,4"
"van Dijk,162,2016,0,5"
"Agüero,160,2016,0,6"
"Mané,159,2016,0,7"
"Aubameyang,157,2016,0,8"
"Pogba,150,2016,0,9"
"Kane,148,2016,0,10"
"Jiménez,145,2016,0,11"
"Alisson,143,2016,0,12"
"Lacazette,138,2016,0,13"
"Sigurdsson,138,2016,0,13"
"Son,138,2016,0,13"
"Alonso,134,2016,0,16"
"Sané,131,2016,0,17"
"Felipe Anderson,129,2016,0,18"
"Fraser,128,2016,0,19"
"Ederson,124,2016,0,20"
"Firmino,123,2016,0,21"
"David Luiz,122,2016,0,22"
"Alexander-Arnold,121,2016,0,23"
"Richarlison,118,2016,0,24"
"Milivojevic,117,2016,0,25"
"Azpilicueta,116,2016,0,26"
"Etheridge,116,2016,0,26"
"Lloris,115,2016,0,28"
"Bernardo Silva,115,2016,0,28"
"Wilson,114,2016,0,30"
"David Silva,113,2016,0,31"
"Fabianski,113,2016,0,31"
"Eriksen,113,2016,0,31"
"Laporte,113,2016,0,31"
"Mitrovic,112,2016,0,35"
"Pickford,111,2016,0,36"
"Pereyra,111,2016,0,36"
"Doherty,111,2016,0,36"
"Rashford,108,2016,0,39"
"Foster,108,2016,0,39"
"King,108,2016,0,39"
"Vardy,106,2016,0,42"
"Dubravka,105,2016,0,43"
"Lukaku,104,2016,0,44"
"Walker,104,2016,0,44"
"Pereira,104,2016,0,44"
"Kepa,103,2016,0,47"
"De Gea,103,2016,0,47"
"van Aanholt,102,2016,0,49"
"Martial,102,2016,0,49"
